Elements;rapide;tas;fusion;bulles;selection;insertion;shell
84000;0.012686;0.017827;0.019695;16.164780;12.485338;1.020012;0.017430
85000;0.013963;0.015389;0.019779;17.263533;12.705341;1.096866;0.018751
86000;0.013543;0.014779;0.021287;17.361039;12.546993;1.070157;0.019550
87000;0.013384;0.014542;0.016891;19.627794;13.707634;1.101777;0.018522
88000;0.013885;0.014443;0.019942;19.676942;14.117077;1.132675;0.018729
89000;0.013474;0.013962;0.021663;18.990639;14.028767;1.249344;0.018839
90000;0.012474;0.015755;0.023748;19.103534;13.807655;1.258158;0.018515
91000;0.013183;0.015859;0.017241;19.478671;14.221429;1.296709;0.018683
92000;0.013478;0.016587;0.020317;19.691323;12.833423;1.352929;0.020231
93000;0.014617;0.018043;0.021157;20.060078;15.618527;1.269668;0.020091
94000;0.014304;0.017808;0.025057;21.159618;15.274009;1.287697;0.021075
95000;0.013586;0.017622;0.017467;20.819340;14.844419;1.296639;0.017263
96000;0.014919;0.015198;0.021318;22.178362;15.554732;1.327022;0.021187
97000;0.014655;0.017407;0.024446;22.743257;16.224877;1.385318;0.021990
98000;0.012333;0.017057;0.021027;22.560115;15.769949;1.482593;0.021737
99000;0.014992;0.019145;0.022578;24.957389;15.152495;1.427597;0.020483
100000;0.014962;0.019116;0.024438;23.098136;15.158425;1.462769;0.018225
